"Course Number"	"Course Name"	"Department"	"Instructor"	"Grades"	"Units"	"Section Number"	"Times"	"Locations"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Kulkarni, S"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Knutson, H"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Hallinan, G"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Ott, C"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Prince, T"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Dore, O"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Mawet, D"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Sargent, A"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Stevenson, D"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Steidel, C"	"PASS-FAIL"	"+"	"21"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Cohen, J"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Blake, G"	"PASS-FAIL"	"+"	"25"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Soifer, B"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Zmuidzinas, J"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Harrison, F"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Phinney, E"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Knutson, H"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Kasliwal, M"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Bock, J"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Steidel, C"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Hallinan, G"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Hopkins, P"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Kulkarni, S"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Batygin, K"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Brown, M"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Blake, G"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Knutson, H"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Ay 143"	"Reading and Independent Study"	"Ay"	"Kirby, E"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"BMB/Bi/Ch 170"	"Biochemistry and Biophysics of Macromolecules and Molecular Assemblies"	"BMB"	"Clemons, W"	"LETTER"	"3-0-6"	"01"	"TR 10:30 - 11:55"	"151 CRL"
"BMB/Ch 178"	"Macromolecular Function: Kinetics, Energetics, and Mechanisms"	"BMB"	"Shan, S"	""	"3-0-6"	"01"	"WF 10:30 - 11:55"	"101 SCH"
"BMB/Ch 202A"	"Biochemistry Seminar Course"	"BMB"	"Clemons, W"	"PASS-FAIL"	"1-0-0"	"01"	"R 12:00 - 12:55"	"320 BRN"
"BMB299"	"Graduate Research"	"BMB"	"Arnold, F"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Bjorkman, P"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Hoelz, A"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Campbell, J"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Phillips, R"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Davidson, E"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Dervan, P"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Dougherty, D"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Fraser, S"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Goddard, W"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Hsieh-Wilson, L"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Jensen, G"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Baltimore, D"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Davis, M"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Mayo, S"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Parker, C"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Hay, B"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Leadbetter, J"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Chan, D"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Cai, L"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Newman, D"	"PASS-FAIL"	"+"	"21"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Kennedy, M"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Elowitz, M"	"PASS-FAIL"	"+"	"23"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Patterson, P"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Lester, H"	"PASS-FAIL"	"+"	"25"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Sternberg, P"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Meyerowitz, E"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Shan, S"	"PASS-FAIL"	"+"	"28"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Wold, B"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Dunphy, W"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Heath, J"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Gray, H"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Gharib, M"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Rees, D"	"PASS-FAIL"	"+"	"34"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Tirrell, D"	"PASS-FAIL"	"+"	"35"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Barton, J"	"PASS-FAIL"	"+"	"36"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Clemons, W"	"PASS-FAIL"	"+"	"37"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Leadbetter, J"	"PASS-FAIL"	"+"	"38"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Murray, R"	"PASS-FAIL"	"+"	"39"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Mazmanian, S"	"PASS-FAIL"	"+"	"40"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Baltimore, D"	"PASS-FAIL"	"+"	"41"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Wang, Z"	"PASS-FAIL"	"+"	"42"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Pierce, N"	"PASS-FAIL"	"+"	"43"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Roukes, M"	"PASS-FAIL"	"+"	"44"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Gray, H"	"PASS-FAIL"	"+"	"45"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Varshavsky, A"	"PASS-FAIL"	"+"	"46"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Goentoro, L"	"PASS-FAIL"	"+"	"47"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Greer, J"	"PASS-FAIL"	"+"	"48"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Anderson, D"	"PASS-FAIL"	"+"	"49"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Hoelz, A"	"PASS-FAIL"	"+"	"50"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Deshaies, R"	"PASS-FAIL"	"+"	"51"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Rothenberg, E"	"PASS-FAIL"	"+"	"52"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Meister, M"	"PASS-FAIL"	"+"	"53"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Shapiro, M"	"PASS-FAIL"	"+"	"54"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Ismagilov, R"	"PASS-FAIL"	"+"	"55"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Miller, T"	"PASS-FAIL"	"+"	"56"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Guttman, M"	"PASS-FAIL"	"+"	"57"	"A"	"A"
"BMB299"	"Graduate Research"	"BMB"	"Zinn, K"	"PASS-FAIL"	"+"	"58"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Arnold, F"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Burdick, J"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Sternberg, P"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Kennedy, M"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Shan, S"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Gharib, M"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Hajimiri, S"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Lester, H"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Gradinaru, V"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Pierce, N"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Mayo, S"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Ponce, A"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Yue, Y"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Roukes, M"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Scherer, A"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Tai, Y"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Tirrell, D"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Yang, C"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Elowitz, M"	"PASS-FAIL"	"+"	"23"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Murray, R"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Leadbetter, J"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Winfree, E"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Kornfield, J"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Baltimore, D"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Shimojo, S"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Dervan, P"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Guttman, M"	"PASS-FAIL"	"+"	"34"	"A"	"A"
"BE 098"	"Undergraduate Research in Bioengineering"	"BE"	"Bjorkman, P"	"PASS-FAIL"	"+"	"35"	"A"	"A"
"BE 167"	"Research Topics in Bioengineering"	"BE"	"Elowitz, M"	"PASS-FAIL"	"1-0-0"	"01"	"T 15:00 - 15:55"	"300 BRD"
"BE 200"	"Research in Bioengineering"	"BE"	"Arnold, F"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Phillips, R"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Burdick, J"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Goddard, W"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Dervan, P"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Hong, E"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Gharib, M"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Hajimiri, S"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Heath, J"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Lester, H"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Ismagilov, R"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Pierce, N"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Gradinaru, V"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Ponce, A"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Troian, S"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Roukes, M"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Scherer, A"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Tai, Y"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Tirrell, D"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Yang, C"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Baltimore, D"	"PASS-FAIL"	"+"	"21"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Guttman, M"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Elowitz, M"	"PASS-FAIL"	"+"	"23"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Murray, R"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Kornfield, J"	"PASS-FAIL"	"+"	"25"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Leadbetter, J"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Winfree, E"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Meister, M"	"PASS-FAIL"	"+"	"28"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Bjorkman, P"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Shimojo, S"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Shapiro, M"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Sternberg, P"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Rothemund, P"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Shapiro, B"	"PASS-FAIL"	"+"	"34"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Goentoro, L"	"PASS-FAIL"	"+"	"35"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Andersen, R"	"PASS-FAIL"	"+"	"36"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Qian, L"	"PASS-FAIL"	"+"	"37"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Dickinson, M"	"PASS-FAIL"	"+"	"38"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Mayo, S"	"PASS-FAIL"	"+"	"39"	"A"	"A"
"BE 200"	"Research in Bioengineering"	"BE"	"Greer, J"	"PASS-FAIL"	"+"	"40"	"A"	"A"
"BE/Bi 103"	"Data Analysis in the Biological Sciences"	"BE"	"Bois, J"	""	"1-3-8"	"01"	"M 13:00 - 15:55"	"200 BRD"
"BE/Bi 103"	"Data Analysis in the Biological Sciences"	"BE"	"Bois, J"	""	"1-3-8"	"01"	"W 10:00 - 10:55"	"100 - Rock Auditorium BRD"
"BE/Bi 103"	"Data Analysis in the Biological Sciences"	"BE"	"Bois, J"	""	"1-3-8"	"02"	"M 19:00 - 21:55"	"200 BRD"
"BE/Bi 103"	"Data Analysis in the Biological Sciences"	"BE"	"Bois, J"	""	"1-3-8"	"02"	"W 10:00 - 10:55"	"100 - Rock Auditorium BRD"
"BE/EE/MedE 189A"	"Design and Construction of Biodevices"	"BE"	"Bois, J"	""	"3-6-3"	"01"	"TR 10:30 - 11:55"	"108 KCK"
"Bi 002"	"Current Research in Biology"	"Bi"	"Elowitz, M"	"PASS-FAIL"	"1-0-2"	"01"	"T 12:00 - 12:55"	"119 KRK"
"Bi 022"	"Undergraduate Research"	"Bi"	"Adolphs, R"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Bronner Hansen, M"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Allman, J"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Campbell, J"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Lester, H"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Bjorkman, P"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Arnold, F"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Rothenberg, E"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Varshavsky, A"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Sternberg, P"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Fraser, S"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Meyerowitz, E"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Kennedy, M"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Mazmanian, S"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Winfree, E"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Leadbetter, J"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Orphan, V"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Shapiro, M"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Patterson, P"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Wold, B"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Goddard, W"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Elowitz, M"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Stathopoulos, A"	"PASS-FAIL"	"+"	"37"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Chan, D"	"PASS-FAIL"	"+"	"38"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Stevenson, D"	"PASS-FAIL"	"+"	"39"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Parker, C"	"PASS-FAIL"	"+"	"40"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Hay, B"	"PASS-FAIL"	"+"	"41"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Shimojo, S"	"PASS-FAIL"	"+"	"43"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Sauka-Spengler, T"	"PASS-FAIL"	"+"	"44"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Clemons, W"	"PASS-FAIL"	"+"	"45"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Baltimore, D"	"PASS-FAIL"	"+"	"46"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Tirrell, D"	"PASS-FAIL"	"+"	"47"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Anderson, D"	"PASS-FAIL"	"+"	"48"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Prober, D"	"PASS-FAIL"	"+"	"52"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Newman, D"	"PASS-FAIL"	"+"	"53"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Gradinaru, V"	"PASS-FAIL"	"+"	"54"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Guttman, M"	"PASS-FAIL"	"+"	"55"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Meister, M"	"PASS-FAIL"	"+"	"56"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Goentoro, L"	"PASS-FAIL"	"+"	"57"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Stevenson, D"	"PASS-FAIL"	"+"	"58"	"A"	"A"
"Bi 022"	"Undergraduate Research"	"Bi"	"Hsiao, E"	"PASS-FAIL"	"+"	"60"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Lester, H"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Davidson, E"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Sternberg, P"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Davis, M"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Newman, D"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Baltimore, D"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Fejes Toth, K"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Anderson, D"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Rothenberg, E"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Doyle, J"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"Bi 090A"	"Undergraduate Thesis"	"Bi"	"Bjorkman, P / Wold, B"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"Bi 122"	"Genetics"	"Bi"	"Hay, B"	"LETTER"	"3-0-6"	"01"	"TR 13:00 - 14:25"	"119 KRK"
"Bi 145A"	"Tissue and Organ Physiology"	"Bi"	"Tydell, C"	""	"3-0-6"	"01"	"MW 19:00 - 20:25"	"152 BRN"
